"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles";"Inchi";"Withdrawn Flag";"Orphan"
"CHEMBL1111";"AMBRISENTAN";"AMBRISENTAN|Ambrisentan|Ambrisentan Mylan|GSK-1325760|GSK-1325760A|GSK1325760|GSK1325760A|LETAIRIS|LU-208075|VOLIBRIS";"GSK-1325760|GSK-1325760A|GSK1325760|GSK1325760A|LU-208075";"4.0";"Mylan Pharmaceuticals Inc|Par Pharmaceutical Inc|Zydus Pharmaceuticals Usa Inc|Aurobindo Pharma Ltd|Gilead Sciences Inc|Watson Laboratories Inc|Sigmapharm Laboratories Llc|Cipla Ltd|Apotex Inc|Sun Pharmaceutical Industries Ltd";"'-entan'";"";"endothelin receptor antagonists";"'-entan(-entan)'";"2007";"C02KX02";"C02KX - Antihypertensives for pulmonary arterial hypertension";"C02K - OTHER ANTIHYPERTENSIVES";"C02 - ANTIHYPERTENSIVES";"C - CARDIOVASCULAR SYSTEM";"";"US-8377933-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O";"InChI=1S/C22H22N2O4/c1-15-14-16(2)24-21(23-15)28-19(20(25)26)22(27-3,17-10-6-4-7-11-17)18-12-8-5-9-13-18/h4-14,19H,1-3H3,(H,25,26)/t19-/m1/s1";"False";"0"
"CHEMBL11359";"CISPLATIN";"(SP-4-2)-DIAMMINEDICHLOROPLATINUM|CIS-DDP|CIS-DIAMMINEDICHLOROPLATINUM|CIS-DIAMMINEDICHLOROPLATINUM II|CIS-PLATIN|CIS-PLATINUM II|CISPLATIN|CISPLATINUM|FAULDISCIPLA|INT-230-6 COMPONENT CISPLATIN|INT230-6 COMPONENT CISPLATIN|LIPLACIS|NSC-119875|PEYRONE'S SALT|PLATINOL|PLATINOL-AQ|cis-diamminedichloroplatinum(II)";"CIS-DDP|INT-230-6 COMPONENT CISPLATIN|INT230-6 COMPONENT CISPLATIN|NSC-119875";"4.0";"Gland Pharma Ltd|Accord Healthcare Inc|Fresenius Kabi Usa Llc|Hikma Pharmaceuticals Usa Inc|Hq Specialty Pharma Corp|Mylan Laboratories Ltd|Bedford Laboratories Div Ben Venue Laboratories Inc|Pharmachemie Bv|Teva Pharmaceuticals Usa";"'-platin'";"1977";"antineoplastics (platinum derivatives)";"'-platin(-platin)'";"1978";"L01XA01";"L01XA - Platinum compounds";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"9:Inorganic";"0";"0";"Achiral Molecule";"0";"0";"1";"0";"1";"Prescription Only";"";"";"False";"0"
"CHEMBL1441";"ETHIONAMIDE";"1314 TH|1314-TH|BAYER 5312|ETHIONAMIDE|ETHIONAMIDUM|NIZOTIN|NSC-255115|TRECATOR|TRECATOR-SC";"1314 TH|1314-TH|BAYER 5312|NSC-255115";"4.0";"Wyeth Pharmaceuticals Llc";"";"1961";"";"";"1965";"J04AD03";"J04AD - Thiocarbamide derivatives";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial (tuberculostatic)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"0";"0";"0";"Prescription Only";"CCc1cc(C(N)=S)ccn1";"InChI=1S/C8H10N2S/c1-2-7-5-6(8(9)11)3-4-10-7/h3-5H,2H2,1H3,(H2,9,11)";"False";"0"
"CHEMBL516";"CYPROHEPTADINE";"CIPROVIT|CYPROHEPTADINE|Cyproheptadine";"";"4.0";"Ascot Hosp Pharmaceuticals Inc Div Travenol Laboratories Inc|Lyne Laboratories Inc|Halsey Drug Co Inc|Patrin Pharma Inc|Pioneer Pharmaceuticals Inc|Watson Laboratories Inc|Mountain Llc|Duramed Pharmaceuticals Inc Sub Barr Laboratories Inc|Quagen Pharmaceuticals Llc|Novast Laboratories Ltd";"";"";"";"";"1961";"R06AX02";"R06AX - Other antihistamines for systemic use";"R06A - ANTIHISTAMINES FOR SYSTEMIC USE";"R06 - ANTIHISTAMINES FOR SYSTEMIC USE";"R - RESPIRATORY SYSTEM";"Antihistaminic; Antipruritic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Prescription Only";"CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1";"InChI=1S/C21H21N/c1-22-14-12-18(13-15-22)21-19-8-4-2-6-16(19)10-11-17-7-3-5-9-20(17)21/h2-11H,12-15H2,1H3";"False";"0"
"CHEMBL477";"ADENOSINE";"9-.BETA.-D-RIBOFURANOSYLADENINE|ADENOCARD|ADENOCOR|ADENOSCAN|ADENOSINE|Adenosine|NSC-7652|SR 96225|SR-96225";"NSC-7652|SR 96225|SR-96225";"4.0";"Gland Pharma Ltd|Mylan Asi Llc|Fresenius Kabi Usa Llc|Avet Lifesciences Ltd|American Regent Inc|Eugia Pharma Specialities Ltd|Wockhardt Ltd|Mylan Laboratories Ltd|Hikma Pharmaceuticals Usa Inc|Rising Pharma Holdings Inc";"";"1988";"";"";"1989";"C01EB10";"C01EB - Other cardiac preparations";"C01E - OTHER CARDIAC PREPARATIONS";"C01 - CARDIAC THERAPY";"C - CARDIOVASCULAR SYSTEM";"Cardiac Depressant (anti-arrhythmic)";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O";"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1";"False";"0"
"CHEMBL4";"OFLOXACIN";"DL-8280|EXOCIN|FLOXIN|FLOXIN OTIC|HOE 280|HOE-280|J01MA01|NSC-727071|NSC-758178|OCUFLOX|OFLOXACIN|TARIVID|TARIVID 400|TARIVID I.V.|Visiren";"DL-8280|HOE 280|HOE-280|J01MA01|NSC-727071|NSC-758178";"4.0";"Mankind Pharma Ltd|Ranbaxy Laboratories Ltd|Larken Laboratories Inc|Bausch And Lomb Inc|Hikma Pharmaceuticals Usa Inc|Teva Pharmaceuticals Usa Inc|Allergan Inc|Janssen Pharmaceuticals Inc|Sandoz|Amneal Eu Ltd";"'-oxacin'";"1984";"antibacterials (quinolone derivatives)";"'-oxacin(-oxacin)'";"1990";"J01MA01 | S02AA16 | S01AE01";"J01MA - Fluoroquinolones | S02AA - Antiinfectives | S01AE - Fluoroquinolones";"J01M - QUINOLONE ANTIBACTERIALS | S02A - ANTIINFECTIVES | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S02 - OTOLOGICALS | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS | S - SENSORY ORGANS";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"1";"1";"1";"Prescription Only";"CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23";"InChI=1S/C18H20FN3O4/c1-10-9-26-17-14-11(16(23)12(18(24)25)8-22(10)14)7-13(19)15(17)21-5-3-20(2)4-6-21/h7-8,10H,3-6,9H2,1-2H3,(H,24,25)";"False";"0"
"CHEMBL809";"SERTRALINE";"SERTRALINE|Sertraline";"";"4.0";"Heritage Pharma Labs Inc Dba Avet Pharmaceuticals Labs Inc|Ascent Pharmaceuticals Inc|Zydus Worldwide Dmcc|Hikma Pharmaceuticals|Reyoung Corporation|Almatica Pharma Llc|Viwit Pharmaceutical Co Ltd|Chartwell Molecular Holdings Llc|Granules India Ltd|Oxford Pharmaceuticals Llc";"'-traline'";"1983";"selective serotonin reuptake inhibitors (SSRI)";"'-traline(-traline)'";"1991";"N06AB06";"N06AB - Selective serotonin reuptake inhibitors";"N06A - ANTIDEPRESSANTS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"Antidepressant";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"1";"Prescription Only";"CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21";"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m0/s1";"False";"0"
"CHEMBL19019";"NALTREXONE";"Celupan|EN-1639A|EN-1639A FREE BASE|EN-1639A [AS HYDROCHLORIDE]|NALTREXONE|NSC-758439|Revia|Trexal|Trexan|VIVITROL";"EN-1639A|EN-1639A FREE BASE|EN-1639A [AS HYDROCHLORIDE]|NSC-758439";"4.0";"Accord Healthcare Inc|Pfizer Inc|Chartwell Life Molecules Llc|Nalpropion Pharmaceuticals Llc|Elite Laboratories Inc|Fosun Pharma Usa Inc|Alpharma Pharmaceuticals Llc|Teva Pharmaceuticals Usa Inc|Teva Womens Health Inc|Alkermes Inc";"'nal-'";"1973";"narcotic agonists/antagonists (normorphine type)";"'nal-(nal-)'";"1984";"N07BB04";"N07BB - Drugs used in alcohol dependence";"N07B - DRUGS USED IN ADDICTIVE DISORDERS";"N07 - OTHER NERVOUS SYSTEM DRUGS";"N - NERVOUS SYSTEM";"Antagonist (to narcotics)";"US-7375111-B2";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"1";"0";"1";"Prescription Only";"O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5";"InChI=1S/C20H23NO4/c22-13-4-3-12-9-15-20(24)6-5-14(23)18-19(20,16(12)17(13)25-18)7-8-21(15)10-11-1-2-11/h3-4,11,15,18,22,24H,1-2,5-10H2/t15-,18+,19+,20-/m1/s1";"False";"0"
"CHEMBL467";"HYDROXYUREA";"DROXIA|HYDREA|HYDROXYCARBAMIDE|HYDROXYUREA|NSC-32065|SQ 1089|SQ-1089|Siklos";"NSC-32065|SQ 1089|SQ-1089";"4.0";"Par Pharmaceutical Inc|Theravia Pharma|Cheplapharm Arzneimittel Gmbh|Leading Pharma Llc|Roxane Laboratories Inc|Barr Laboratories Inc";"";"1965";"";"";"1967";"L01XX05";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"1";"Prescription Only";"NC(=O)NO";"InChI=1S/CH4N2O2/c2-1(4)3-5/h5H,(H3,2,3,4)";"False";"0"
"CHEMBL35";"FUROSEMIDE";"ALUZINE 20|ALUZINE 40|ALUZINE 500|Aquamed|DIURESAL|DRYPTAL|Disal|FROOP|FRUMAX|FRUMIL|FRUSEMIDE|FRUSETIC|FRUSID|FRUSOL|FUROSCIX|FUROSEMIDE|FUROSEMIDUM|Frusemide|HYDROLED|LASIX|LASIX RET|LB-502|LOGIRENE|MARSEMIDE|MIRFAT|NSC-269420|OEDEMEX|RUSYDE|TENKOFRUSE";"LB-502|NSC-269420";"4.0";"Mankind Pharma Ltd|Areva Pharmaceuticals Inc|Pharmobedient Consulting|Wyeth Ayerst Laboratories|Ani Pharmaceuticals Inc|Watson Laboratories Inc|International Medication Systems Ltd|Scpharmaceuticals Inc|Kalapharm Inc|Prinston Pharmaceutical Inc";"'-semide'";"1964";"diuretics (furosemide type)";"'-semide(-semide)'";"1966";"C03CA01";"C03CA - Sulfonamides, plain";"C03C - HIGH-CEILING DIURETICS";"C03 - DIURETICS";"C - CARDIOVASCULAR SYSTEM";"Diuretic";"US-9884039-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"0";"1";"Prescription Only";"NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl";"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)";"False";"0"
